belt_1,belt,the act of hitting vigorously <br /> <i>(Example: He gave the table a belt)</i>,ammunition (usually of small caliber) loaded in flexible linked strips for use in a machine gun <br /> <i>(Example: The belt fed through the machine as shots rung out)</i>,endless loop of flexible material between two rotating shafts or pulleys <br /> <i>(Example: The drive belt broke)</i>,an elongated region where a specific condition or characteristic is found <br /> <i>(Example: A belt of high pressure)</i>,a path or strip (as cut by one course of mowing) <br /> <i>(Example: Push them down the belt)</i>,5
feed_2,feed,serve as food for; be the food for <br /> <i>(Example: This dish feeds six)</i>,feed into; supply <br /> <i>(Example: Her success feeds her vanity)</i>,introduce continuously <br /> <i>(Example: Feed carrots into a food processor)</i>,give food to <br /> <i>(Example: Feed the doggie)</i>,profit from in an exploitatory manner <br /> <i>(Example: He feeds on her insecurity)</i>,5
window_1,window,an opening that resembles a window in appearance or function <br /> <i>(Example: He could see them through a window in the trees)</i>,a transparent panel (as of an envelope) inserted in an otherwise opaque material <br /> <i>(Example: The window of the envelope was misalligned and I couldn't read the address)</i>,a pane of glass in a window <br /> <i>(Example: The ball shattered the window)</i>,an opening in a wall or screen that admits light and air and through which customers can be served <br /> <i>(Example: He stuck his head in the window)</i>,the time period that is considered best for starting or finishing something <br /> <i>(Example: The expanded window will give us time to catch the thieves)</i>,5
turtle_1,turtle,any of various aquatic and land reptiles having a bony shell and flipper-like limbs for swimming <br /> <i>(Example: There was sure to be foxes in the woods or turtles in the water)</i>,a sweater or jersey with a high close-fitting collar <br /> <i>(Example: I don't like the feel of turtles on my neck)</i>,,,,2
hard_2,hard,not easy; requiring great physical or mental effort to accomplish or comprehend or endure <br /> <i>(Example: Why is it so hard for you to keep a secret?)</i>,being distilled rather than fermented; having a high alcoholic content <br /> <i>(Example: Hard liquor)</i>,resisting weight or pressure <br /> <i>(Example: That's a hard table)</i>,dispassionate <br /> <i>(Example: Took a hard look)</i>,characterized by effort to the point of exhaustion; especially physical effort <br /> <i>(Example: Hard labor)</i>,5
cut_4,cut,turn sharply; change direction abruptly <br /> <i>(Example: The car cut to the left at the intersection)</i>,create by duplicating data <br /> <i>(Example: Cut a disk)</i>,move (one's fist) <br /> <i>(Example: His opponent cut upward toward his chin)</i>,give the appearance or impression of <br /> <i>(Example: Cut a nice figure)</i>,cause to stop operating by disengaging a switch <br /> <i>(Example: Cut the engine)</i>,5
black_2,black,(used of conduct or character) deserving or bringing disgrace or shame <br /> <i>(Example: Man has written one of his blackest records as a destroyer on the oceanic islands)</i>,being of the achromatic color of maximum darkness; having little or no hue owing to absorption of almost all incident light <br /> <i>(Example: Black leather jackets)</i>,(of intelligence operations) deliberately misleading <br /> <i>(Example: Black propaganda)</i>,distributed or sold illicitly <br /> <i>(Example: The black economy pays no taxes)</i>,stemming from evil characteristics or forces; wicked or dishonorable <br /> <i>(Example: Black deeds)</i>,5
fast_2,fast,at a rapid tempo <br /> <i>(Example: The band played a fast fox trot)</i>,securely fixed in place <br /> <i>(Example: The sail held fast)</i>,hurried and brief <br /> <i>(Example: A fast visit)</i>,(of a photographic lens or emulsion) causing a shortening of exposure time <br /> <i>(Example: A fast lens)</i>,acting or moving or capable of acting or moving quickly <br /> <i>(Example: Fast film)</i>,5
hard_3,hard,very strong or vigorous <br /> <i>(Example: A hard left to the chin)</i>,,,,,1
play_6,play,consider not very seriously <br /> <i>(Example: She plays with the thought of moving to Tasmania)</i>,stake on the outcome of an issue <br /> <i>(Example: She played all her money on the dark horse)</i>,replay (as a melody) <br /> <i>(Example: She played the third movement very beautifully)</i>,bet or wager (money) <br /> <i>(Example: He played $20 on the new horse)</i>,manipulate manually or in one's mind or imagination <br /> <i>(Example: She played nervously with her wedding ring)</i>,5
eat_2,eat,use up (resources or materials) <br /> <i>(Example: This car eats a lot of gas)</i>,,,,,1
candy_1,candy,a rich sweet made of flavored sugar and often combined with fruit or nuts <br /> <i>(Example: I love candy and sweets)</i>,,,,,1
lick_1,lick,take up with the tongue <br /> <i>(Example: The cub licked the milk from its mother's breast)</i>,find the solution to (a problem or question) or understand the meaning of <br /> <i>(Example: Lick the problem)</i>,pass the tongue over <br /> <i>(Example: The dog licked her hand)</i>,beat thoroughly and conclusively in a competition or fight <br /> <i>(Example: We licked the other team on Sunday!)</i>,,4
flower_1,flower,a plant cultivated for its blooms or blossoms <br /> <i>(Example: Did you pick up flowers for Mom?)</i>,reproductive organ of angiosperm plants especially one having showy or colorful parts <br /> <i>(Example: Oh what a beautiful flower!)</i>,,,,2
paint_1,paint,make a painting <br /> <i>(Example: He painted all day in the garden)</i>,apply paint to; coat with paint <br /> <i>(Example: We painted the rooms yellow)</i>,make a painting of <br /> <i>(Example: He painted his mistress many times)</i>,apply a liquid to <br /> <i>(Example: Paint the gutters with linseed oil)</i>,,4
cup_2,cup,a United States liquid unit equal to 8 fluid ounces <br /> <i>(Example: I had two slices of toast with half a cup of cottage cheese)</i>,a small open container usually used for drinking; usually has a handle <br /> <i>(Example: He put the cup back in the saucer)</i>,the quantity a cup will hold <br /> <i>(Example: He drank a cup of coffee)</i>,,,3
penguin_1,penguin,short-legged flightless birds of cold southern especially Antarctic regions having webbed feet and wings modified as flippers <br /> <i>(Example: Penguins go in the water and eat fishes don't they)</i>,,,,,1
wait_1,wait,stay in one place and anticipate or expect something <br /> <i>(Example: I had to wait on line for an hour to get the tickets)</i>,wait before acting <br /> <i>(Example: You have to wait before crossing the street)</i>,look forward to the probable occurrence of <br /> <i>(Example: He is waiting to be drafted)</i>,serve as a waiter or waitress in a restaurant <br /> <i>(Example: I'm waiting on tables at Maxim's)</i>,,4
hair_1,hair,filamentous hairlike growth on a plant <br /> <i>(Example: You eat the kiwi with hair and everything?)</i>,cloth woven from horsehair or camelhair; used for upholstery or stiffening in garments <br /> <i>(Example: The back of the chair ripped and the hair was exposed)</i>,a filamentous projection or process on an organism <br /> <i>(Example: I let my hair grow long)</i>,a very small distance or space <br /> <i>(Example: They escaped by a hair's-breadth)</i>,any of the cylindrical filaments characteristically growing from the epidermis of a mammal <br /> <i>(Example: There is a hair in my soup)</i>,5
drive_2,drive,"compel somebody to do something, often against his own will or judgment <br /> <i>(Example: She finally drove him to change jobs)</i>",strive and make an effort to reach a goal <br /> <i>(Example: She is driving away at her doctoral thesis)</i>,cause someone or something to move by driving <br /> <i>(Example: We drove the car to the garage)</i>,excavate horizontally <br /> <i>(Example: Drive a tunnel)</i>,operate or control a vehicle <br /> <i>(Example: Drive a car or bus)</i>,5
walk_1,walk,walk at a pace <br /> <i>(Example: The horses walked across the meadow)</i>,take a walk; go for a walk; walk for pleasure <br /> <i>(Example: The lovers held hands while walking)</i>,obtain a base on balls <br /> <i>(Example: The batter walked to first base)</i>,give a base on balls to <br /> <i>(Example: The pitcher walked the batter)</i>,make walk <br /> <i>(Example: He walks the horse up the mountain)</i>,5
fall_1,fall,fall to somebody by assignment or lot <br /> <i>(Example: The task fell to me)</i>,to be given by right or inheritance <br /> <i>(Example: The house falls to you)</i>,lose an upright position suddenly <br /> <i>(Example: It's gonna fall over in a minute)</i>,"come under, be classified or included <br /> <i>(Example: Fall into a category)</i>",come out; issue <br /> <i>(Example: It'll make your teeth all fall out)</i>,5
see_1,see,"see and understand, have a good eye <br /> <i>(Example: The artist must first learn to see)</i>",see or watch <br /> <i>(Example: This program will be seen all over the world)</i>,take charge of or deal with <br /> <i>(Example: Could you see about lunch?)</i>,be careful or certain to do something; make certain of something <br /> <i>(Example: See that the curtains are closed)</i>,"go to see a place, as for entertainment <br /> <i>(Example: We went to see the Eiffel Tower in the morning)</i>",5
walk_2,walk,accompany or escort <br /> <i>(Example: I'll walk you to your car)</i>,live or behave in a specified manner <br /> <i>(Example: Walk in sadness)</i>,use one's feet to advance; advance by steps <br /> <i>(Example: We walked instead of driving)</i>,be or act in association with <br /> <i>(Example: We must walk with our dispossessed brothers and sisters)</i>,traverse or cover by walking <br /> <i>(Example: Paul walked the streets of Damascus)</i>,5
sofa_1,sofa,an upholstered seat for more than one person <br /> <i>(Example: Get the dog off the sofa)</i>,,,,,1
old_1,old,of long duration; not new <br /> <i>(Example: Old tradition)</i>,skilled through long experience <br /> <i>(Example: An old offender)</i>,of a very early stage in development <br /> <i>(Example: This is a very old prototype)</i>,belonging to some prior time <br /> <i>(Example: An old friend)</i>,just preceding something else in time or order <br /> <i>(Example: My old house was larger)</i>,5
crayon_1,crayon,writing implement consisting of a colored stick of composition wax used for writing and drawing <br /> <i>(Example: He wants to draw with the crayons)</i>,,,,,1
yard_2,yard,a unit of volume (as for sand or gravel) <br /> <i>(Example: I need about a cubic yard of concrete)</i>,a tract of land where logs are accumulated <br /> <i>(Example: We put the logs in the yard)</i>,an enclosure for animals (as chicken or livestock) <br /> <i>(Example: The chickens escaped the yard)</i>,a long horizontal spar tapered at the end and used to support and spread a square sail or lateen <br /> <i>(Example: Some yards are used to display flags)</i>,,4
green_1,green,of the color between blue and yellow in the color spectrum; similar to the color of fresh grass <br /> <i>(Example: A green tree)</i>,not fully developed or mature; not ripe <br /> <i>(Example: Fried green tomatoes)</i>,"concerned with or supporting or in conformity with the political principles of the Green Party <br /> <i>(Example: Don't vote Red or Blue, vote Green)</i>",looking pale and unhealthy <br /> <i>(Example: You're looking green)</i>,naive and easily deceived or tricked <br /> <i>(Example: She is quite green)</i>,5
tickle_1,tickle,"touch (a body part) lightly so as to excite the surface nerves and cause uneasiness, laughter, or spasmodic movements <br /> <i>(Example: Shall we tickle your tummy)</i>",feel sudden intense sensation or emotion <br /> <i>(Example: He was tickled by the speed and the roar of the engine)</i>,touch or stroke lightly <br /> <i>(Example: The grass tickled her calves)</i>,,,3
hold_3,hold,protect against a challenge or attack <br /> <i>(Example: Hold that position behind the trees)</i>,stop dealing with <br /> <i>(Example: Hold all calls to the President's office while he is in a meeting)</i>,have as a major characteristic <br /> <i>(Example: The novel holds many surprises)</i>,"maintain (a theory, thoughts, or feelings) <br /> <i>(Example: Hold a grudge)</i>","have or possess, either in a concrete or an abstract sense <br /> <i>(Example: She holds a Master's degree from Harvard)</i>",5
snow_1,snow,street names for cocaine <br /> <i>(Example: He asked if I had any snow to buy)</i>,a layer of snowflakes (white crystals of frozen water) covering the ground <br /> <i>(Example: Do you want to play in the snow?)</i>,precipitation falling from clouds in the form of ice crystals <br /> <i>(Example: Oh look there's snow falling!)</i>,,,3
stand_2,stand,"occupy a place or location, also metaphorically <br /> <i>(Example: We stand on common ground)</i>",have or maintain a position or stand on an issue <br /> <i>(Example: Where do you stand on the War?)</i>,be tall; have a height of; copula <br /> <i>(Example: She stands 6 feet tall)</i>,put up with something or somebody unpleasant <br /> <i>(Example: I can't stand squealing children)</i>,remain inactive or immobile <br /> <i>(Example: Standing water)</i>,5
foot_2,foot,an army unit consisting of soldiers who fight on foot <br /> <i>(Example: There came ten thousand horsemen and as many fully-armed foot)</i>,the lower part of anything <br /> <i>(Example: Curled up on the foot of the bed)</i>,(prosody) a group of 2 or 3 syllables forming the basic unit of poetic rhythm <br /> <i>(Example: You're completely skipping the second foot here)</i>,lowest support of a structure <br /> <i>(Example: He stood at the foot of the tower)</i>,travel by walking <br /> <i>(Example: He followed on foot)</i>,5
little_1,little,lowercase <br /> <i>(Example: Little a)</i>,(informal) small and of little importance <br /> <i>(Example: A little (or small) matter)</i>,(of a voice) faint <br /> <i>(Example: A little voice)</i>,(quantifier used with mass nouns) small in quantity or degree; not much or almost none or (with `a') at least some <br /> <i>(Example: Little rain fell in May)</i>,"(of children and animals) young, immature <br /> <i>(Example: What a big little boy you are)</i>",5
new_2,new,used of a living language; being the current stage in its development <br /> <i>(Example: These new phones always confuse me)</i>,original and of a kind not seen before <br /> <i>(Example: I have the new People Magazine if you're interested)</i>,lacking training or experience <br /> <i>(Example: The new men were eager to fight)</i>,unfamiliar <br /> <i>(Example: New experiences)</i>,(of crops) harvested at an early stage of development; before complete maturity <br /> <i>(Example: New potatoes)</i>,5
ball_1,ball,an object with a spherical shape <br /> <i>(Example: A ball of fire)</i>,one of the two male reproductive glands that produce spermatozoa and secrete androgens <br /> <i>(Example: She kicked him in the balls and got away)</i>,round object that is hit or thrown or kicked in games <br /> <i>(Example: The ball travelled 90 mph on his serve)</i>,a lavish dance requiring formal attire <br /> <i>(Example: The princess wasn't going to make it to the ball)</i>,a solid projectile that is shot by a musket <br /> <i>(Example: They had to carry a ramrod as well as powder and ball)</i>,5
new_1,new,other than the former one(s); different <br /> <i>(Example: They now have a new leaders)</i>,(of a new kind or fashion) gratuitously new <br /> <i>(Example: Newfangled ideas)</i>,unaffected by use or exposure <br /> <i>(Example: It looks like new)</i>,having no previous example or precedent or parallel <br /> <i>(Example: A time of new prosperity)</i>,not of long duration; having just (or relatively recently) come into being or been made or acquired or discovered <br /> <i>(Example: A new law)</i>,5
bee_1,bee,any of numerous hairy-bodied insects including social and solitary species <br /> <i>(Example: Stung by a bee)</i>,a social gathering to carry out some communal task or to hold competitions <br /> <i>(Example: He won the spelling bee)</i>,,,,2
sink_1,sink,a covered cistern; waste water and sewage flow into it <br /> <i>(Example: All the waste water goes into the sink)</i>,"a depression in the ground communicating with a subterranean passage (especially in limestone) and formed by solution or by collapse of a cavern roof <br /> <i>(Example: Be careful, theres a big sink out there)</i>",(technology) a process that acts to absorb or remove energy or a substance from a system <br /> <i>(Example: The ocean is a sink for carbon dioxide)</i>,"plumbing fixture consisting of a water basin fixed to a wall or floor and having a drainpipe <br /> <i>(Example: Wash your hands in the sink, please)</i>",,4
hand_1,hand,"one of two sides of an issue <br /> <i>(Example: On the one hand. , but on the other hand)</i>",ability <br /> <i>(Example: He wanted to try his hand at singing)</i>,terminal part of the forelimb in certain vertebrates (e.g. apes or kangaroos) <br /> <i>(Example: The kangaroo's forearms seem undeveloped but the powerful five-fingered hands are skilled at feinting and clouting)</i>,a rotating pointer on the face of a timepiece <br /> <i>(Example: The big hand counts the minutes)</i>,a card player in a game of bridge <br /> <i>(Example: We need a 4th hand for bridge)</i>,5
stop_1,stop,"come to a halt, stop moving <br /> <i>(Example: The car stopped)</i>","hold back, as of a danger or an enemy; check the expansion or influence of <br /> <i>(Example: Stop the rebel movement)</i>","stop and wait, as if awaiting further instructions or developments <br /> <i>(Example: Just stop a minute)</i>",prevent completion <br /> <i>(Example: Stop the project)</i>,put an end to a state or an activity <br /> <i>(Example: Are you gonna stop eating it)</i>,5
happy_1,happy,enjoying or showing or marked by joy or pleasure <br /> <i>(Example: A happy smile)</i>,marked by good fortune <br /> <i>(Example: A happy outcome)</i>,eagerly disposed to act or to be of service <br /> <i>(Example: I would be happy to help)</i>,well expressed and to the point <br /> <i>(Example: A happy turn of phrase)</i>,,4
sticky_1,sticky,having the sticky properties of an adhesive <br /> <i>(Example: The tape is very sticky)</i>,hard to deal with; especially causing pain or embarrassment <br /> <i>(Example: A sticky question)</i>,covered with an adhesive material <br /> <i>(Example: Once the paper is sticky we can add our decorations)</i>,moist as with undried perspiration and with clothing sticking to the body <br /> <i>(Example: Felt sticky and chilly at the same time)</i>,hot or warm and humid <br /> <i>(Example: Sticky weather)</i>,5
chalk_1,chalk,a soft whitish calcite <br /> <i>(Example: Some mountains are full of chalk)</i>,"a piece of calcite or a similar substance, usually in the shape of a crayon, that is used to write or draw on blackboards or other flat surfaces <br /> <i>(Example: Why don't you get your chalks and draw something?)</i>",a pure flat white with little reflectance <br /> <i>(Example: My table has a chalk color)</i>,an amphetamine derivative (trade name Methedrine) used in the form of a crystalline hydrochloride; used as a stimulant to the nervous system and as an appetite suppressant <br /> <i>(Example: I really don't feel myself unless I have some chalk)</i>,,4
